file,field,shape,dtype
data/reference/figures/revision_v12_plot_data.npz,temp_2020-11-29_M3_COPF2025,216 x 24,float64
data/reference/figures/revision_v12_plot_data.npz,temp_2020-11-29_M4_proposed,216 x 24,float64
data/reference/figures/revision_v12_plot_data.npz,heatmap_M2_EP2024,73 x 48,float64
data/reference/figures/revision_v12_plot_data.npz,heatmap_M4_proposed,73 x 48,float64
data/reference/figures/revision_v12_plot_data.npz,convergence_2020-04-07_M4_economic_start,30 x 3,float64
data/reference/figures/revision_v12_plot_data.npz,convergence_2020-04-07_M4_constant_start,33 x 3,float64
data/reference/figures/revision_v12_plot_data.npz,convergence_2020-10-17_M4_economic_start,33 x 3,float64
data/reference/figures/revision_v12_plot_data.npz,convergence_2020-10-17_M4_constant_start,30 x 3,float64
data/reference/figures/revision_v12_plot_data.npz,convergence_2020-11-29_M4_economic_start,33 x 3,float64
data/reference/figures/revision_v12_plot_data.npz,convergence_2020-11-29_M4_constant_start,33 x 3,float64
data/reference/figures/revision_v18_plot_data.npz,dispatch_M1_constant,3 x 48,float64
data/reference/figures/revision_v18_plot_data.npz,dispatch_M2_native,3 x 48,float64
data/reference/figures/revision_v18_plot_data.npz,dispatch_M3_native,3 x 48,float64
data/reference/figures/revision_v18_plot_data.npz,dispatch_M4_proposed,3 x 48,float64
data/reference/figures/revision_v18_plot_data.npz,stacks_2020-04-07,4 x 48,float64
data/reference/figures/revision_v18_plot_data.npz,stacks_2020-10-17,4 x 48,float64
data/reference/figures/revision_v18_plot_data.npz,stacks_2020-11-29,4 x 48,float64
data/reference/figures/revision_v18_plot_data.npz,cost_2020-04-07_M1_constant,48,float64
data/reference/figures/revision_v18_plot_data.npz,source_co2_2020-04-07_M1_constant,48,float64
data/reference/figures/revision_v18_plot_data.npz,cost_2020-04-07_M2_native,48,float64
data/reference/figures/revision_v18_plot_data.npz,source_co2_2020-04-07_M2_native,48,float64
data/reference/figures/revision_v18_plot_data.npz,cost_2020-04-07_M3_native,48,float64
data/reference/figures/revision_v18_plot_data.npz,source_co2_2020-04-07_M3_native,48,float64
data/reference/figures/revision_v18_plot_data.npz,cost_2020-04-07_M4_proposed,48,float64
data/reference/figures/revision_v18_plot_data.npz,source_co2_2020-04-07_M4_proposed,48,float64
data/reference/figures/revision_v18_plot_data.npz,cost_2020-10-17_M1_constant,48,float64
data/reference/figures/revision_v18_plot_data.npz,source_co2_2020-10-17_M1_constant,48,float64
data/reference/figures/revision_v18_plot_data.npz,cost_2020-10-17_M2_native,48,float64
data/reference/figures/revision_v18_plot_data.npz,source_co2_2020-10-17_M2_native,48,float64
data/reference/figures/revision_v18_plot_data.npz,cost_2020-10-17_M3_native,48,float64
data/reference/figures/revision_v18_plot_data.npz,source_co2_2020-10-17_M3_native,48,float64
data/reference/figures/revision_v18_plot_data.npz,cost_2020-10-17_M4_proposed,48,float64
data/reference/figures/revision_v18_plot_data.npz,source_co2_2020-10-17_M4_proposed,48,float64
data/reference/figures/revision_v18_plot_data.npz,cost_2020-11-29_M1_constant,48,float64
data/reference/figures/revision_v18_plot_data.npz,source_co2_2020-11-29_M1_constant,48,float64
data/reference/figures/revision_v18_plot_data.npz,cost_2020-11-29_M2_native,48,float64
data/reference/figures/revision_v18_plot_data.npz,source_co2_2020-11-29_M2_native,48,float64
data/reference/figures/revision_v18_plot_data.npz,cost_2020-11-29_M3_native,48,float64
data/reference/figures/revision_v18_plot_data.npz,source_co2_2020-11-29_M3_native,48,float64
data/reference/figures/revision_v18_plot_data.npz,cost_2020-11-29_M4_proposed,48,float64
data/reference/figures/revision_v18_plot_data.npz,source_co2_2020-11-29_M4_proposed,48,float64
data/reference/figures/revision_v18_plot_data.npz,temp_2020-04-07_M1_constant,72 x 24,float64
data/reference/figures/revision_v18_plot_data.npz,temp_2020-04-07_M2_native,72 x 24,float64
data/reference/figures/revision_v18_plot_data.npz,temp_2020-04-07_M3_native,72 x 24,float64
data/reference/figures/revision_v18_plot_data.npz,temp_2020-04-07_M4_proposed,216 x 24,float64
data/reference/figures/revision_v18_plot_data.npz,temp_2020-10-17_M1_constant,72 x 24,float64
data/reference/figures/revision_v18_plot_data.npz,temp_2020-10-17_M2_native,72 x 24,float64
